Game,MessageId,Submitter,Url 1,Url 2,Url 3,Url 4
Crate Twister,922542365493841940,Corey Hardt,https://zithral.itch.io/crate-twister,,,
FILMECHANISM,922113541555773460,Draknek,https://store.steampowered.com/app/1608270/FILMECHANISM/,,,
5381 - itch.io,921566392355016754,Corey Hardt,https://5381.itch.io/,,,
Superposition,920733933816127488,megamanlego,https://store.steampowered.com/app/1825540/Superposition/?s=09,,,
tetrible,920525816960516126,tbreisacher,https://henriforshort.itch.io/tetrible,,,
Mimic,919509363834634330,fizzd,https://sourencho.itch.io/mimic,,,
Board Game Mish Mash,917567350725832714,ubuntor,https://airtoum.itch.io/board-game-mish-mash,,,
World Land Trust Bundle by KrisWB and 55 others - itch.io,917103655281381387,zaratustra,https://itch.io/b/1164/world-land-trust-bundle,,,
Box: The Game,917069357664854037,skepticaljesus,https://store.steampowered.com/app/879850/Box_The_Game/,,,
Vector Racer - harmmade.com,916487247350611998,ErikH2000,https://harmmade.com/vectorracer,,,
Vertebrae,916461196859818034,Corey Hardt,https://draxes.itch.io/vertebrae,,,
I Wanna Lockpick,916229355129167922,LAWatson,https://lawatson.itch.io/i-wanna-lockpick,,,
null,916146263848796180,PleasingFungus,https://twitter.com/LukeArrWatson/status/1466003328442245120,,,
Long Haul Space Flight,916000002223009862,knexator,https://pap4qlxxlevb.itch.io/long-haul-space-flight,,,
Witch n' Wiz (NES),915964058786758746,Krystman,https://mhughson.itch.io/witch-n-wiz,,,
Bean and Nothingness,915617568310562848,Leaving Leaves,https://store.steampowered.com/app/1706090/Bean_and_Nothingness/,,,
Take This,915234128050421781,zaratustra,https://zaratustra.itch.io/take-this,,,
Dungeon and Puzzles - Sokoban - Apps on Google Play,915160097141964810,mopp,https://play.google.com/store/apps/details?id=com.nekolyst.dungeonandpuzzles,,,
I wanna change my position,910616340824461332,Menderbug,https://competor.itch.io/i-wanna-change-my-position,,,
Moncage,909998875593560165,KirraLuan,https://store.steampowered.com/app/1195290/Moncage/,,,
crystal anomaly,909905634986700833,pinchazumos,https://minotalen.itch.io/crystalanomaly,,,
Tres Undos,909654105117573177,Corey Hardt,https://knexator.itch.io/tres-undos,,,
Frincess&Cnight,909514219072929872,Sky Chan,https://store.steampowered.com/app/1452540/FrincessCnight/,,,
‎quadline on the App Store,908702431750258708,KirraLuan,https://apps.apple.com/us/app/quadline/id1575569233,,,
Null Hypothesis,908049001402753095,Corey Hardt,https://portponky.itch.io/null-hypothesis,,,
PuzzleScript Game,908015760813748235,fizzd,https://www.puzzlescript.net/play.html?p=2424a19a3a5ac848c5489afea323be48,,,
ロケットパズル(RocketPuzzle) - 29Games,904955109551796284,PleasingFungus,https://29games.net/rocketpuzzle/,,,
Magnet Mayhem,904837103798616124,Sky Chan,https://thewinrawr.itch.io/magnet-mayhem,,,
Magnesium_173,904578051659141190,blorx1,https://store.steampowered.com/app/1157200/Magnesium_173/,,,
Hourglass,901225018514608138,Draknek,https://store.steampowered.com/app/1212410/Hourglass/,,,
null,900341913297776670,salty-horse,https://twitter.com/AjoeyVengeant/status/1450035188394831872,,,
Blocks Must Fall!,899149131304534016,wynick27,https://store.steampowered.com/app/1747850/Blocks_Must_Fall/,,,
ElecHead,898181447851057182,fizzd,https://store.steampowered.com/app/1456880,,,
Frog Finder,897262953714311200,Cheeseness,https://poobslag.itch.io/frog-finder,,,
Sunshine Heavy Industries,896501915217715241,PleasingFungus,https://store.steampowered.com/app/1542810/Sunshine_Heavy_Industries/,,,
Insight,895570547218472970,KirraLuan,https://store.steampowered.com/app/1602980/INSIGHT/,,,
The Last Campfire,895407056163577916,Dywindel,https://store.steampowered.com/app/990630/The_Last_Campfire/,,,
Everyday Housing Problem,895304968603598928,Notan,https://notaninart.itch.io/everyday-housing-problem,,,
A=B,894002183987671051,skepticaljesus,https://store.steampowered.com/app/1720850/AB/,,,
Bonfire Peaks,893392306240122890,Harry Damm,https://store.steampowered.com/app/1147890/Bonfire_Peaks/,,,
PuzzleScript Game,892811293877239808,Menderbug,https://www.puzzlescript.net/play.html?p=49d0783789796eea2f89e639d8e6d763,,,
The Signal State,891786797292584990,KashRZ,https://store.steampowered.com/app/1577620/The_Signal_State/,,,
Mountain Climber - Arvi Teikari (Hempuli),891384155596808232,Pedro PSI,https://pedropsi.github.io/mountain-climber?from=thinky,,,
Little Square Things,890160765112311848,Toombler,https://store.steampowered.com/app/945490/Little_Square_Things/,,,
‎Impossible Isles on the App Store,889955351372382249,Andy Gibson,https://apple.co/3kRdZYB,https://bit.ly/38EkEiM,https://wondering-star.itch.io/,https://bit.ly/3tgSPH6
null,889654359472865360,zaratustra,https://twitter.com/dailyshrdlu,,,
Puzzledorf,889585075044384799,Menderbug,https://store.steampowered.com/app/1580560/Puzzledorf/,,,
Warp Factory,889321873312186409,blorx1,https://store.steampowered.com/app/1601860/Warp_Factory/,,,
Triple Agent - Apps on Google Play,888713806514114570,pinchazumos,https://play.google.com/store/apps/details?id=com.tastyrook.agent,,,
Yugo Puzzle,887379856126529566,Portponky,https://store.steampowered.com/app/1693260/_/,,,
Gestalt_3.1,886986198218866730,knexator,https://games.increpare.com/Gestalt_3_1/,,,
Stoff_OS,886983486718746714,minotalen,https://tilmannr.itch.io/stoff-os,,,
Tower of the Scorched Sea,885957584832593980,MarioFan32,https://ferociter.itch.io/tower-of-the-scorched-sea,,,
Cardinal Chains,885648258968477696,megamanlego,https://store.steampowered.com/app/1422220/Cardinal_Chains/,,,
ロボットにこころを,883893246613389352,competor,https://corge.net/robokoko/,https://twitter.com/shohei909/status/1045963198837358597,,
Changes,883661856848367637,Pedro PSI,https://store.steampowered.com/app/1654920/Changes/,,,
Hexa: Ultimate Hexagon Puzzle Game - Apps on Google Play,881855322409541732,Dan Wilkins,https://play.google.com/store/apps/details?id=com.SalusGames.Hexa,,,
3x3 RBG tilt-mazes,881487906424897566,clickmazes,https://clickmazes.itch.io/rbg-tilt-mazes,,,
null,880551713973620756,skymoo,https://twitter.com/cyanworlds/status/1430923165086085120,,,
Trail Mix,878764821720485938,Corey Hardt,https://puzzsoft.itch.io/trail-mix,,,
Orakyubu,876668791239626844,Leaving Leaves,https://store.steampowered.com/app/1654900/Orakyubu/,,,
Tetragon,875519655308062721,Draknek,https://store.steampowered.com/app/1545850/Tetragon/,,,
Untrusted - a user javascript adventure game,872821495364218890,TophWells,https://alexnisnevich.github.io/untrusted/,,,
non - The First Warp,872421931314458624,Larpon,https://store.steampowered.com/app/761730/,,,
She Remembered Caterpillars,871477313613729874,TophWells,https://store.steampowered.com/app/470780/She_Remembered_Caterpillars/,,,
BridgeFix 2=3-1,871387869053333584,KirraLuan,https://store.steampowered.com/app/1679200/BridgeFix_231/,,,
Storyteller,870398141919273041,marcosd,https://store.steampowered.com/app/1624540/Storyteller/,,,
Two Worlds,869797538725773342,vexorian,https://nebu-soku.itch.io/two-worlds,,,
Subatomic Wire,869598887718031401,nut,https://josehzz.itch.io/subatomic-wire,,,
PICO-CRATE,867468785904255016,(✿•ᴗ•) Harmony <3,http://harmony-hunnie.itch.io/pico-crate,,,
SPACE STORESHIP -スペースストアシップ-,867214176659963914,KirraLuan,https://store.steampowered.com/app/1681020/SPACE_STORESHIP/,,,
Mini Motorways,867054500808359956,TJC games,https://store.steampowered.com/app/1127500/Mini_Motorways/,https://www.timeanddate.com/countdown/launch?iso=20210720T15&p0=%3A&msg=Launch+Countdown&font=cursive&csz=1,,
What The Witness?,866536246662266941,Leaving Leaves,https://alith.itch.io/what-the-witness,,,
The God Unit,866501593922928682,megamanlego,https://store.steampowered.com/app/1204440/The_God_Unit/,,,
Temple of the Four Serpents,865875886716747787,MarioFan32,https://ferociter.itch.io/temple-of-the-four-serpents,,,
PuzzleScript Game,865863360506626048,JumbleTheCircle,https://www.puzzlescript.net/play.html?p=3792c9509477394b4cf09d7a32be29db,,,
Obduction,865513706259480576,skymoo,https://www.epicgames.com/store/en-US/p/obduction,,,
PuzzleScript Game,865442950322061322,Corey Hardt,https://pancelor.com/PuzzleScript/play.html?p=d8d11a3cb0e80e5a2429f9a1cbbd8b59,https://toombler.itch.io/secure,,
PuzzleScript Game,865328297428254740,knexator,https://www.puzzlescript.net/play.html?p=9245c37f8932033f94a40636636502b6,,,
PuzzleScript Game,865269347231465502,qwaffles,https://www.puzzlescript.net/play.html?p=81947ef0985c2639b47b,,,
Puzzle Puppers,864202749751328798,Corey Hardt,https://cardboardkeep.itch.io/puzzle-puppers,,,
Upaon: A Snake's Journey,863184744836628501,megamanlego,https://store.steampowered.com/app/1660040/Upaon_A_Snakes_Journey/,,,
PuzzleScript Game,862050689177878543,knexator,https://www.puzzlescript.net/play.html?p=1d1601e9667f50e2ae4d4b49533f7921,,,
Oh No My Dog Is About To Swallow A Piece Of Chocolate - increpare games,862029637642354688,salty-horse,https://www.increpare.com/game/oh-no-my-dog-is-about-to-swallow-a-piece-of-chocolate.html,,,
null,860982125573439519,skymoo,https://steamdb.info/app/463930/,,,
Elephant Game,860658421262581781,seyuup,https://seyuup.itch.io/elephant-game,,,
The elephant in her room,860325125496242197,KirraLuan,https://nebu-soku.itch.io/the-elephant-in-her-room,,,
Insight,859569137972674630,Leaving Leaves,https://store.steampowered.com/app/1602980/INSIGHT/,,,
Put the logs in the water, elephant! - increpare games,859321056635912232,salty-horse,https://www.increpare.com/game/put-the-logs-in-the-water-elephant.html,,,
Steam :: ComPressure :: ComPressure Is now free! (and now with weekly challenges),859299934427021332,Corey Hardt,https://steamcommunity.com/games/1528120/announcements/detail/2981928041991623687,,,
ComPressure,859299901850517554,Corey Hardt,https://store.steampowered.com/app/1528120/ComPressure/,,,
Linklight,859252012549668904,Америкинский,https://store.steampowered.com/app/1066490/Linklight/,,,
PuzzleScript Game,858792340876427274,Corey Martin,https://www.puzzlescript.net/play.html?p=f13829fb6c5b9af9c18bbcaf6b4c741d,https://www.puzzlescript.net/play.html?p=2ec54c32af77b2b1e7645c2aa5020b47,,
One touch Drawing - Apps on Google Play,858737812634468352,KirraLuan,https://play.google.com/store/apps/details?id=com.ecapycsw.onetouchdrawing,,,
Project CHR$(143),858386182971064340,minotalen,https://chr143.itch.io/project-chr143,,,
Long Tail,858227469118210078,Akhad,https://spiderdash.itch.io/long-tail,,,
Swap-over mazes,857930078486265876,clickmazes,https://clickmazes.itch.io/swap-over-mazes,,,
Screw gravity,857905830669451284,salty-horse,https://stingby12.itch.io/screw-gravity,,,
Dungeon Keysmith's Apprentice,857731248352526347,pancelor,https://james-orendorff.itch.io/dungeon-keysmiths-apprentice,,,
opposoddo,857646141360177213,KirraLuan,https://competor.itch.io/opposoddo,,,
Threadbound,856985425573838878,Corey Hardt,https://pynl.itch.io/threadbound,,,
Horse Divorce - GMTK Game Jam 2021,856984264066990130,vexorian,https://shrimpcryptid.itch.io/horse-divorce,,,
Swap,856735230579965952,The Owl,https://shanesmith.itch.io/swap,,,
push connection,856566168348131348,TheZachMan,https://rosden.itch.io/push-connection,,,
PuzzleScript Game,856566045439557633,Rosden,https://www.puzzlescript.net/play.html?p=620adf19690f047fdd8e84c45ed1c34c,,,
The Signal State,856371096524685342,ubuntor,https://store.steampowered.com/app/1577620/The_Signal_State/,,,
A monster's snowball,856368878413938699,ricky,https://competor.itch.io/a-monsters-snowball,,,
SPACE,856207315362250803,Leaving Leaves,https://0414.works/space,,,
The Tail of the Serpent,856164018905677824,KirraLuan,https://le-slo.itch.io/the-tail-of-the-serpent,,,
Edge Not Found,855993043927564289,KirraLuan,https://auroriax.itch.io/edge-not-found,,,
Chiasm,855586206737629264,Draknek,https://store.steampowered.com/app/1556550/Chiasm/,,,
PuzzleScript Game,855458272891240448,qwaffles,https://www.puzzlescript.net/play.html?p=e595773b52e8e9eb185727d20893c9e9,,,
You Can See How Big It Really Is | DJ RAPEKIT,855123266830073926,TophWells,https://djrapekit.bandcamp.com/track/you-can-see-how-big-it-really-is,,,
DANG I'M HUGE,855116577980284978,Corey Hardt,https://zaratustra.itch.io/dang-im-huge,,,
Claw,854863491428384799,Le Slo,https://juner.itch.io/claw,,,
Inbox Unbox,854737453315129354,salty-horse,https://store.steampowered.com/app/1552300/Inbox_Unbox/,,,
Cubia - 3D Slide Puzzle - Apps on Google Play,854636111167356948,KirraLuan,https://play.google.com/store/apps/details?id=com.stickflip.cubia,,,
Hexabon United,854146458496270356,blooper,https://blooper.itch.io/hexabon-united,,,
Onward Blocks,854028115663781978,KirraLuan,https://kultisti.itch.io/onward-blocks,,,
e-connect Puzzle,853982777481756693,vexorian,https://hikokyoujurou.itch.io/econnectpuzzle,,,
A Sailor's Pastime,853822248485912626,TheZachMan,https://menderbug.itch.io/a-sailors-pastime,,,
Shuffolks!,853807082846814219,KirraLuan,https://kz.itch.io/shuffolks,,,
trappuzzler,851096347259699250,kdkdk,https://store.steampowered.com/app/1621920/trappuzzler/,,,
Ynglet,850768444017082439,pinchazumos,https://triple-topping.itch.io/ynglet,,,
Ynglet,850751607985799168,Portponky,https://store.steampowered.com/app/1015920/Ynglet/,,,
qubo,849958128653172746,KirraLuan,https://store.steampowered.com/app/1287090/qubo/,,,
‎inbento on the App Store,849724201337749615,Corey Hardt,https://apps.apple.com/us/app/inbento/id1468115950,,,
Hoplite - Apps on Google Play,849609652169474048,pinchazumos,https://play.google.com/store/apps/details?id=com.magmafortress.hoplite&hl=en&gl=US,,,
Gestalt_OS - increpare games,849576379740848138,Notan,https://www.increpare.com/game/gestalt_os.html,,,
Exploit,849430806988718120,Haon115,https://futureproofgames.itch.io/exploit,,,
Exploit: Zero Day,849429786366574633,Haon115,https://exploitzeroday.com/,,,
Ynglet: Prologue,848588541004349461,pinchazumos,https://store.steampowered.com/app/1336070/Ynglet_Prologue/,,,
Trepa,847218569855107074,Corey Martin,https://marcosd.itch.io/trepa,,,
Paul's Cube Roll,847148381905092638,PleasingFungus,https://bl4st.itch.io/pauls-cube-roll,,,
At the Hedges of Time,846466959939862588,jackk,https://galactical.itch.io/at-the-hedges-of-time,,,
null,846466854658899968,jackk,https://ldjam.com/events/ludum-dare/48/push-stack,,,
BoxBob,845015058370789416,Auroriax,https://carlospedroso.itch.io/boxbob,,,
Pictopix,842898409258352760,Corey Hardt,https://store.steampowered.com/app/568320/Pictopix/,,,
Kenshō - Apps on Google Play,842348560158425089,KirraLuan,https://play.google.com/store/apps/details?id=com.fiftytwo.kensho_android,,,
Laser Push,842088334623899728,Corey Hardt,https://rob1221.itch.io/laser-push,,,
the Sequence [2],842060306930073620,KirraLuan,https://store.steampowered.com/app/1560450/the_Sequence_2/,,,
Phantom Path,841697339294744597,skymoo,https://store.steampowered.com/app/1180970/Phantom_Path/,,,
Corrypt,841309013475328000,pinchazumos,https://smestorp.itch.io/corrypt,,,
Loihtija,841302949698207745,KirraLuan,https://kultisti.itch.io/loihtija,,,
Papetura,840597307200110623,KirraLuan,https://store.steampowered.com/app/593640,,,
Cipher,839662225093951500,Ben Wu,https://bencolewu.itch.io/cipher,,,
Sky Beneath,839156611355508776,Harry Damm,https://store.steampowered.com/app/1313110/Sky_Beneath/,,,
Gateways,839109730105950228,vexorian,https://store.steampowered.com/app/216290/Gateways/,,,
Bean and Nothingness,838070481273618433,Draknek,http://beanandnothingness.com/,,,
Induction,838061005023346728,That Scar,https://store.steampowered.com/app/381890/Induction/,,,
Y-Sokombanator,837628377203867668,CHz,https://e-neighborhood-watch.itch.io/y-sokombanator,,,
Metamor[ρ]hosis,837373925897404438,TheZachMan,https://le-slo.itch.io/rainwater-honey-oil,,,
Sixit,837213981591601192,mopp,https://stargardengames.itch.io/sixit,,,
Delightment,837175594495639592,KirraLuan,https://kz.itch.io/delightment,,,
Layers,836845334100443178,KirraLuan,https://le-slo.itch.io/layers,,,
FIRE & ICE CREAM,836793796607344641,Diamond Knight,https://diamond-knight.itch.io/fire-ice-cream,,,
Rainbow Renovation,836574536782446632,Diamond Knight,https://diamond-knight.itch.io/rainbow-renovation,,,
Mitoosis,836234003978911755,KirraLuan,https://le-slo.itch.io/mitoosis,,,
Tender: Creature Comforts - Apps on Google Play,834594057921364007,KirraLuan,https://play.google.com/store/apps/details?id=com.sun.tender,,,
Exactly 7,834452531895205930,lizog,https://matrix67.itch.io/exactly-seven,,,
Machinika Museum - Apps on Google Play,834403391618416660,KirraLuan,https://play.google.com/store/apps/details?id=com.littlefieldstudio.MachinikaMuseum,,,
Portal Reloaded,833760220370960384,Draknek,https://store.steampowered.com/app/1255980/Portal_Reloaded/,,,
Compass Rose,831917017141084210,TophWells,http://pace212.itch.io/compass-rose/,,,
Understand,831867914595598346,skepticaljesus,https://store.steampowered.com/app/1299400/Understand/,,,
Antimatiere,831794852676108298,Darches,https://enjminbundle.itch.io/antimatiere,https://bluemaxima.org/flashpoint/,,
PuzzleScript Game,831575574794338345,Corey Hardt,https://www.puzzlescript.net/play.html?p=2fe3172d2b9fe684977d184f1b6226d5,,,
Inner Tao,831154128792846347,Elyot,https://store.steampowered.com/app/1115870/Inner_Tao/,,,
Furniture Science,829084366063009842,Corey Hardt,https://vexorian.itch.io/furniture-science?secret=Ni2Mn9NyNAJiEzGrmsHbvoLHPs,,,
Ladder Box,829084180670709761,Draknek,https://store.steampowered.com/app/1444390/Ladder_Box/,,,
Springdoku,829078126180958228,Corey Hardt,https://srpatel.itch.io/springdoku,,,
Aunt Flora's Mansion,827663645021700136,fenoloftaleina,https://w.itch.io/aunt-floras-mansion,,,
PuzzleScript Game,827556480356974604,knexator,https://what-gophers-go-for.github.io/,,,
Snakehole,827367575570350160,Corey Hardt,https://jackkutilek.itch.io/snakehole,,,
Play Mini Gemini Replay (PMGRP) - Pedro,827279820458295316,Corey Hardt,https://pedropsi.github.io/pmgrp.html,,,
Patrick's Parabox PuzzleScript demake,827103108130668605,Notan,https://competor.itch.io/patricks-parabox-puzzlescript-demake,,,
Wildfire Swap on Steam,826848057697107979,Ryan Kubik,https://r-k.io/wildfire-swap-steam,,,
Minimal Move,826817523944521740,Draknek,https://store.steampowered.com/app/976680/Minimal_Move/,,,
Subatomic Wire - Play on Armor Games,826674640842915860,KirraLuan,https://armorgames.com/subatomic-wire-game/19068?t=1606767128,,,
PuzzleScript Game,825895131135082516,Pito,https://www.puzzlescript.net/play.html?p=cc3bd893226603301612ae9151eb1afd,,,
Radical Dungeon Sweeper,825848357724356674,Corey Hardt,https://store.steampowered.com/app/761170/Radical_Dungeon_Sweeper/,,,
PuzzleScript Game,825804528087334923,Beekie,https://www.puzzlescript.net/play.html?p=a4bb2bf44284bdb9347cf3f1399d4f11,,,
PuzzleScript Game,825508258063319071,sftrabbit,https://jacklance.github.io/PuzzleScript/play.html?p=cfdcc6e23f1fb3e9de2fd42fafaf4d4c,,,
Selene's Labyrinth,825366067667795968,jcGyo,https://jcgyo.itch.io/selenes-labyrinth,,,
DOTsZLE - Logic and Colors Puzzle Game - Apps on Google Play,825107351299424346,QWERTY,https://play.google.com/store/apps/details?id=com.EC.ColorsPuzzles,,,
YRKKEY'S PARADISE,825012180801421323,Draknek,https://www.newgrounds.com/portal/view/785674,,,
Starman - Apps on Google Play,824855700248723498,KirraLuan,https://play.google.com/store/apps/details?id=games.nadastudio.android.starman,,,
The House of Da Vinci 2 - Apps on Google Play,824854240961888276,KirraLuan,https://play.google.com/store/apps/details?id=com.bluebraingames.houseofdavinci2,,,
The Room: Old Sins - Apps on Google Play,824854111672336394,KirraLuan,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom4,,,
The Machine's Garden - Apps on Google Play,824854029049135107,KirraLuan,https://play.google.com/store/apps/details?id=com.toomuchtomato.themachinesgarden,,,
Cats in Time - Relaxing Puzzle Game,824463241135783948,Draknek,https://catsintime.carrd.co/,,,
Gess - Wikipedia,824392421365252167,TheZachMan,https://en.m.wikipedia.org/wiki/Gess,,,
Princess Castle Quest,824373673489727598,Elyot,https://store.steampowered.com/app/1103550/Princess_Castle_Quest/,,,
Chessformer,824356163264184330,Corey Hardt,https://rob1221.itch.io/chessformer,,,
Not Chess - Apps on Google Play,824164526005813250,KirraLuan,https://play.google.com/store/apps/details?id=com.crevasse.notchess,,,
Chess Light - Apps on Google Play,824164352642908190,KirraLuan,https://play.google.com/store/apps/details?id=net.pyrosphere.chesslight,,,
Phantom Path,823953204420673577,Corey Hardt,https://store.steampowered.com/app/1180970/Phantom_Path/,,,
Polarity Switch,822838118620332052,Corey Hardt,https://rob1221.itch.io/polarity-switch,,,
Fate of Kai,822445685295153163,Draknek,https://store.steampowered.com/app/1426480/Fate_of_Kai/,,,
Sizeable,822428630977478667,Draknek,https://store.steampowered.com/app/1333910/Sizeable/,,,
みんなでGOLF！(Shall We Golf?),822208544274645023,Pedro PSI,https://nebu-soku.itch.io/golfshall-we-golf,,,
Red Ronin,821819465540567111,Draknek,https://store.steampowered.com/app/1222570/Red_Ronin/,,,
Escorial,821467553691992095,Corey Hardt,https://srpatel.itch.io/escorial,,,
Teodoro,821453384916664330,haze,https://store.steampowered.com/app/1482130/Teodoro/,,,
Redirection,820348792737759312,megamanlego,https://store.steampowered.com/app/305760/Redirection/,,,
null,820082393385009172,Cheeseness,https://cheeseness.itch.io/bonesweeper/devlog/231217/bonesweeper-prototype-released,https://www.youtube.com/watch?v=aiW4770dkOQ,,
Altered,819996783383674930,Draknek,https://store.steampowered.com/app/973250/Altered/,https://glitchheart.itch.io/altered,,
U27RA R3Z0NANC3,819948448442089473,Draknek,https://store.steampowered.com/app/1413670/U27RA_R3Z0NANC3/,https://dumivid.itch.io/u27ra-r3z0nanc3,,
Intricacy,818574536207237140,knexator,https://zugz.itch.io/intricacy,,,
I am Two,818078061047316500,knexator,https://nebu-soku.itch.io/i-am-two,,,
No Ammo Left Behind,816469833637298196,Ash Badas,https://ash-badas.itch.io/no-ammo-left-behind,,,
BoxPushMen,815071001846743040,Zera,https://matsu-friends.itch.io/boxpushmen,,,
Tiny Traffic,814580830868865024,Draknek,https://store.steampowered.com/app/1445980/Tiny_Traffic/,,,
Room to Grow,814570502105726987,Corey Martin,https://store.steampowered.com/app/1471960/Room_to_Grow/,,,
Enclose puzzle game | Cross Virus - Free game site DAN-BALL,814408142904361001,Zera,https://dan-ball.jp/en/javagame/crossvirus/,,,
Paul's Cube Roll,814178604258558012,Le Slo,https://bl4st.itch.io/pauls-cube-roll,,,
Of Mice and Moggies,813864768413892618,Draknek,https://store.steampowered.com/app/1409180/Of_Mice_and_Moggies/,,,
Infinite minesweeper,813066631063273483,knexator,http://www.1000mines.com/,,,
Gridblocked,812083830021685309,Pedro PSI,https://auroriax.itch.io/gridblocked,,,
Buy Lode Runner™ | Xbox,810912534932095016,Zera,https://www.microsoft.com/en-us/p/lode-runner/c3mbtrvx085r?activetab=pivot:regionofsystemrequirementstab,,,
Pocket Watch,810639275883495464,megamanlego,https://store.steampowered.com/app/1510620/Pocket_Watch/,,,
Horu-san: Underground Stories,809256009917792267,mcerdeira - マーティン,https://martincerdeira.itch.io/horu-san-underground-stories,,,
Room to Grow,809225841761321001,Leaving Leaves,https://store.steampowered.com/app/1471960/Room_to_Grow/,,,
Maquette,808883426177450044,KirraLuan,https://store.steampowered.com/app/762840/Maquette/,,,
Polarity Puzzles,807898105450201098,Toombler,https://second-tech.com/PolarityPuzzles/,,,
Jelly Is Sticky,806989110610755624,Elyot,https://store.steampowered.com/app/1492620/Jelly_Is_Sticky,,,
Keen: One Girl Army,803979457822982164,megamanlego,https://store.steampowered.com/app/566490/Keen_One_Girl_Army/,,,
SOLAS 128,803634999362322463,Alith,https://store.steampowered.com/app/1257850/SOLAS_128/,,,
双曲番: Hyperbolic Sokoban,803007657316581386,ZenoRogue,https://sokyokuban.com/,,,
hexceed,801650851168649277,Leaving Leaves,https://store.steampowered.com/app/1463920/hexceed/,,,
Color Assembler,801448615180107806,KirraLuan,https://store.steampowered.com/app/370570/Color_Assembler/,,,
HexON,801444608793116682,KirraLuan,https://store.steampowered.com/app/1203570,,,
TapTap,801336356844470293,Sky Chan,https://www.taptap.com/app/205685,,,
Dungeon and Puzzles,799326941890478160,Draknek,https://store.steampowered.com/app/1229060/Dungeon_and_Puzzles/,,,
null,798970019131424789,megamanlego,https://twitter.com/KennyYSun/status/1349405856740372485,,,
null,798180910306033664,KirraLuan,https://play.google.com/store/apps/details?id=com.logi.game,,,
